[trainer] 断点续训：epoch 78/100
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4_fold1 fold=1 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4_fold1] ep89 step241/249 loss=0.2679 {'ds': 0.141, 'seg': 0.207, 'cls': 0.244, 'special': 0.0, 'embed': 0.001}
[g4_fold1] epoch 89 loss=0.2577 dice_core=0.9114 dice_peri=0.9546 thr=[0.4, 0.5] (770s)
[g4_fold1] ep90 step21/249 loss=0.3334 {'ds': 0.15, 'seg': 0.216, 'cls': 0.468, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep90 step41/249 loss=0.3377 {'ds': 0.196, 'seg': 0.273, 'cls': 0.253, 'special': 0.0, 'embed': 0.023}
[g4_fold1] ep90 step61/249 loss=0.2690 {'ds': 0.149, 'seg': 0.201, 'cls': 0.27, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep90 step81/249 loss=0.2965 {'ds': 0.148, 'seg': 0.205, 'cls': 0.365, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep90 step101/249 loss=0.1650 {'ds': 0.084, 'seg': 0.114, 'cls': 0.203, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep90 step121/249 loss=0.1793 {'ds': 0.083, 'seg': 0.119, 'cls': 0.24, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep90 step141/249 loss=0.6820 {'ds': 0.437, 'seg': 0.582, 'cls': 0.397, 'special': 0.0, 'embed': 0.015}
[g4_fold1] ep90 step161/249 loss=0.2663 {'ds': 0.102, 'seg': 0.153, 'cls': 0.453, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep90 step181/249 loss=0.4422 {'ds': 0.273, 'seg': 0.355, 'cls': 0.349, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep90 step201/249 loss=0.5449 {'ds': 0.084, 'seg': 0.364, 'cls': 0.724, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep90 step221/249 loss=0.1720 {'ds': 0.071, 'seg': 0.092, 'cls': 0.317, 'special': 0.0, 'embed': 0.006}
[g4_fold1] ep90 step241/249 loss=0.3157 {'ds': 0.149, 'seg': 0.204, 'cls': 0.445, 'special': 0.0, 'embed': 0.005}
[g4_fold1] epoch 90 loss=0.2567 dice_core=0.9113 dice_peri=0.9547 thr=[0.4, 0.55] (811s)
